AIS	
AERONAUTICAL INFORMATION SERVICES
Aerodrome / Heliport in Europe/Greenland
Master gUID	Identifier of Aerodrome	Responsible State	Name of Aerodrome	ICAO Code	IATA Code	Type	(d)Operation code	ARP latitude	ARP Longitude	Datum	Served city	Working hours	Effective date	Originator	System Remark
5012721	BGAA	GREENLAND	AASIAAT	BGAA	JEG	AD	 	68.7218472N	052.7847472W	WGE	AASIAAT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
800001595115780	BGAG	GREENLAND	AAPPILATTOQ (UPERNAVIK)	BGAG	AOQ	HP	 	72.8870444N	055.5962167W	WGE	AAPPILATTOQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
101000865800748	BGAK	GREENLAND	AKUNNAAQ	BGAK	QCU	HP	 	68.7442833N	052.3403306W	WGE	AKUNNAAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5016633	BGAM	GREENLAND	TASIILAQ	BGAM	AGM	HP	 	65.6123N	037.6183472W	WGE	TASIILAQ	 	17/04/2025	NAVIAIR ATS	please obtain current usage data from dedicated report
5013607	BGAP	GREENLAND	ALLUITSUP PAA	BGAP	LLU	HP	 	60.4644583N	045.5691028W	WGE	ALLUITSUP PAA	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5015673	BGAQ	GREENLAND	AAPPILATTOQ (NANORTALIK)	BGAQ	QUV	HP	 	60.1483556N	044.2869056W	WGE	AAPPILATTOQ (NANORTALIK)	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
400004100433992	BGAR	GREENLAND	ARSUK	BGAR	JRK	HP	 	61.1768722N	048.4196722W	WGE	ARSUK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5016657	BGAS	GREENLAND	AMMASSIVIK	BGAS	QUW	HP	 	60.59533333N	045.38200556W	WGE	AMMASSIVIK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
95712694	BGAT	GREENLAND	ATTU	BGAT	QGQ	HP	 	67.9430444N	053.6223333W	WGE	ATTU	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
400002299464007	BGAU	GREENLAND	AAPPALUTTOQ	BGAU	 	HP	 	63.0321056N	050.33125W	WGE	 	 	14/07/2022	GROUPEAD EUROPE S.L.	 
4606515	BGBW	GREENLAND	NARSARSUAQ	BGBW	UAK	AD	 	61.1607194N	045.425675W	WGE	NARSARSUAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
